date,value
1900-07-01T00:00:00,27.15
1901-07-01T00:00:00,28.4
1902-07-01T00:00:00,28.200000000000003
1903-07-01T00:00:00,28.1
1904-07-01T00:00:00,26.450000000000003
1905-07-01T00:00:00,26.85
1906-07-01T00:00:00,27.8
1907-07-01T00:00:00,28.200000000000003
1908-07-01T00:00:00,27.5
1909-07-01T00:00:00,28.75
1910-07-01T00:00:00,27.65
1911-07-01T00:00:00,26.9
1912-07-01T00:00:00,28.0
1913-07-01T00:00:00,27.85
1914-07-01T00:00:00,28.1
1915-07-01T00:00:00,28.1
1916-07-01T00:00:00,28.3
1917-07-01T00:00:00,28.2
1918-07-01T00:00:00,28.200000000000003
1919-07-01T00:00:00,28.1
1920-07-01T00:00:00,27.85
1921-07-01T00:00:00,28.049999999999997
1922-07-01T00:00:00,27.4
1923-07-01T00:00:00,27.3
1924-07-01T00:00:00,28.2
1925-07-01T00:00:00,28.4
1926-07-01T00:00:00,28.1
1927-07-01T00:00:00,28.1
1928-07-01T00:00:00,27.95
1929-07-01T00:00:00,27.5
1930-07-01T00:00:00,28.25
1931-07-01T00:00:00,28.700000000000003
1932-07-01T00:00:00,28.9
1933-07-01T00:00:00,27.55
1934-07-01T00:00:00,27.75
1935-07-01T00:00:00,28.1
1936-07-01T00:00:00,27.9
1937-07-01T00:00:00,28.1
1938-07-01T00:00:00,27.75
1939-07-01T00:00:00,28.2
1940-07-01T00:00:00,27.3
1941-07-01T00:00:00,27.9
1942-07-01T00:00:00,27.45
1943-07-01T00:00:00,28.0
1944-07-01T00:00:00,28.75
1945-07-01T00:00:00,27.8
1946-07-01T00:00:00,27.549999999999997
1947-07-01T00:00:00,27.3
1948-07-01T00:00:00,29.049999999999997
1949-07-01T00:00:00,27.6
1950-07-01T00:00:00,27.4
1951-07-01T00:00:00,29.3
1952-07-01T00:00:00,27.6
1953-07-01T00:00:00,28.0
1954-07-01T00:00:00,28.7
1955-07-01T00:00:00,27.200000000000003
1956-07-01T00:00:00,28.15
1957-07-01T00:00:00,28.799999999999997
1958-07-01T00:00:00,28.3
1959-07-01T00:00:00,27.450000000000003
1960-07-01T00:00:00,29.35
1961-07-01T00:00:00,27.200000000000003
1962-07-01T00:00:00,28.75
1963-07-01T00:00:00,27.9
1964-07-01T00:00:00,27.6
1965-07-01T00:00:00,28.2
1966-07-01T00:00:00,28.25
1967-07-01T00:00:00,26.9
1968-07-01T00:00:00,27.4
1969-07-01T00:00:00,28.6
1970-07-01T00:00:00,27.2
1971-07-01T00:00:00,27.299999999999997
1972-07-01T00:00:00,26.8
1973-07-01T00:00:00,28.35
1974-07-01T00:00:00,27.450000000000003
1975-07-01T00:00:00,26.95
1976-07-01T00:00:00,27.25
1977-07-01T00:00:00,28.5
1978-07-01T00:00:00,28.6
1979-07-01T00:00:00,27.75
1980-07-01T00:00:00,29.15
1981-07-01T00:00:00,28.3
1982-07-01T00:00:00,28.0
1983-07-01T00:00:00,27.85
1984-07-01T00:00:00,26.9
1985-07-01T00:00:00,27.35
1986-07-01T00:00:00,28.1
1987-07-01T00:00:00,27.35
1988-07-01T00:00:00,27.1
1989-07-01T00:00:00,26.700000000000003
1990-07-01T00:00:00,27.15
1991-07-01T00:00:00,27.6
1992-07-01T00:00:00,27.5
1993-07-01T00:00:00,27.85
1994-07-01T00:00:00,27.0
1995-07-01T00:00:00,27.700000000000003
1996-07-01T00:00:00,27.75
1997-07-01T00:00:00,28.4
1998-07-01T00:00:00,28.8
1999-07-01T00:00:00,27.549999999999997
2000-07-01T00:00:00,28.35
2001-07-01T00:00:00,27.75
2002-07-01T00:00:00,27.7
2003-07-01T00:00:00,27.35
2004-07-01T00:00:00,27.75
2005-07-01T00:00:00,28.1
2006-07-01T00:00:00,27.549999999999997
2007-07-01T00:00:00,26.85
2008-07-01T00:00:00,28.4
2009-07-01T00:00:00,28.65
2010-07-01T00:00:00,28.55
2011-07-01T00:00:00,28.35
2012-07-01T00:00:00,27.45
2013-07-01T00:00:00,27.55
2014-07-01T00:00:00,27.3
2015-07-01T00:00:00,29.1
2016-07-01T00:00:00,28.85
2017-07-01T00:00:00,27.85
